"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2022-01-01 00:00","2022","01","01","00:00","-30.2","","-33.7","","72","","","M","1","","10","","","M","88.40","","","","-39","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-01-01 01:00","2022","01","01","01:00","-31.3","","-34.8","","72","","","M","36","","10","","","M","88.42","","","","-41","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-01-01 02:00","2022","01","01","02:00","-31.6","","-35.2","","71","","","M","36","","10","","","M","88.47","","","","-41","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-01-01 03:00","2022","01","01","03:00","-32.0","","-35.5","","72","","","M","36","","11","","","M","88.48","","","","-42","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-01-01 04:00","2022","01","01","04:00","-32.2","","-35.8","","71","","","M","1","","9","","","M","88.50","","","","-41","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-01-01 05:00","2022","01","01","05:00","-32.1","","-35.8","","71","","","M","35","","8","","","M","88.52","","","","-40","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-01-01 06:00","2022","01","01","06:00","-32.1","","-35.8","","71","","","M","36","","8","","","M","88.55","","","","-40","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-01-01 07:00","2022","01","01","07:00","-32.2","","-35.9","","71","","","M","1","","8","","","M","88.58","","","","-41","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-01-01 08:00","2022","01","01","08:00","-31.2","","-34.9","","71","","","M","36","","8","","","M","88.61","","","","-39","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-01-01 09:00","2022","01","01","09:00","-30.4","","-34.0","","71","","","M","2","","4","","","M","88.61","","","","-35","","NA"
