"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2020-03-01 00:00","2020","03","01","00:00","-0.5","","-5.5","","69","","","M","12","","19","","","M","88.33","","","","-6","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-03-01 01:00","2020","03","01","01:00","-1.2","","-4.0","","81","","","M","35","","8","","","M","88.40","","","","-4","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-03-01 02:00","2020","03","01","02:00","-1.5","","-3.7","","85","","","M","34","","6","","","M","88.48","","","","-4","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-03-01 03:00","2020","03","01","03:00","-1.5","","-3.7","","85","","","M","5","","11","","","M","88.53","","","","-5","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-03-01 04:00","2020","03","01","04:00","-1.7","","-3.6","","87","","","M","12","","3","","","M","88.58","","","","-3","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-03-01 05:00","2020","03","01","05:00","-1.5","","-4.4","","81","","","M","12","","11","","","M","88.63","","","","-5","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-03-01 06:00","2020","03","01","06:00","-2.5","","-4.7","","85","","","M","15","","3","","","M","88.66","","","","-4","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-03-01 07:00","2020","03","01","07:00","-3.4","","-5.4","","86","","","M","29","","1","","","M","88.69","","","","-4","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-03-01 08:00","2020","03","01","08:00","-2.7","","-5.3","","82","","","M","27","","2","","","M","88.72","","","","-3","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-03-01 09:00","2020","03","01","09:00","-0.2","","-6.1","","64","","","M","16","","8","","","M","88.71","","","","-3","","NA"
