"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2020-02-01 00:00","2020","02","01","00:00","6.0","","3.9","","86","","","M","17","","22","","","M","87.77","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-02-01 01:00","2020","02","01","01:00","5.7","","3.8","","88","","","M","16","","24","","","M","87.67","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-02-01 02:00","2020","02","01","02:00","5.6","","3.8","","88","","","M","17","","24","","","M","87.60","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-02-01 03:00","2020","02","01","03:00","5.4","","3.4","","87","","","M","17","","26","","","M","87.44","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-02-01 04:00","2020","02","01","04:00","5.5","","3.1","","85","","","M","17","","22","","","M","87.35","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-02-01 05:00","2020","02","01","05:00","5.5","","3.0","","84","","","M","16","","26","","","M","87.31","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-02-01 06:00","2020","02","01","06:00","5.3","","2.5","","82","","","M","17","","37","","","M","87.19","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-02-01 07:00","2020","02","01","07:00","4.7","","2.3","","84","","","M","17","","23","","","M","87.16","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-02-01 08:00","2020","02","01","08:00","4.5","","2.1","","85","","","M","17","","32","","","M","87.13","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-02-01 09:00","2020","02","01","09:00","3.9","","1.9","","87","","","M","17","","28","","","M","87.09","","","","","","NA"
