"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 00:00","2020","10","01","00:00","4.5","","3.0","","90","","","M","1","","10","","","M","89.82","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 01:00","2020","10","01","01:00","3.6","","2.6","","94","","","M","36","","13","","","M","89.80","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 02:00","2020","10","01","02:00","3.0","","2.3","","95","","","M","4","","7","","","M","89.78","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 03:00","2020","10","01","03:00","2.5","","1.6","","94","","","M","3","","3","","","M","89.78","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 04:00","2020","10","01","04:00","2.0","","1.3","","95","","","M","34","","7","","","M","89.78","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 05:00","2020","10","01","05:00","1.7","","1.0","","95","","","M","33","","5","","","M","89.79","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 06:00","2020","10","01","06:00","1.3","","0.8","","96","","","M","36","","5","","","M","89.78","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 07:00","2020","10","01","07:00","2.2","","1.5","","95","","","M","35","","8","","","M","89.77","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 08:00","2020","10","01","08:00","4.3","","2.8","","90","","","M","1","","5","","","M","89.77","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 09:00","2020","10","01","09:00","7.5","","4.1","","79","","","M","32","","1","","","M","89.71","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 10:00","2020","10","01","10:00","10.1","","4.7","","69","","","M","4","","3","","","M","89.69","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-10-01 11:00","2020","10","01","11:00","12.2","","5.7","","64","","","M","27","","5","","","M","89.61","","","","","","NA"
