"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2020-08-01 00:00","2020","08","01","00:00","19.1","","14.8","","76","","","M","8","","2","","","M","89.02","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-08-01 01:00","2020","08","01","01:00","17.2","","14.3","","83","","","M","1","","8","","","M","89.05","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-08-01 02:00","2020","08","01","02:00","17.4","","14.4","","82","","","M","6","","7","","","M","89.03","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-08-01 03:00","2020","08","01","03:00","15.5","","13.8","","90","","","M","29","","3","","","M","89.02","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-08-01 04:00","2020","08","01","04:00","15.6","","13.7","","88","","","M","3","","10","","","M","89.06","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-08-01 05:00","2020","08","01","05:00","15.0","","13.3","","89","","","M","1","","3","","","M","89.08","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-08-01 06:00","2020","08","01","06:00","16.5","","13.7","","83","","","M","1","","10","","","M","89.08","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-08-01 07:00","2020","08","01","07:00","18.9","","14.1","","73","","","M","36","","11","","","M","89.07","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-08-01 08:00","2020","08","01","08:00","22.1","","14.5","","61","","","M","1","","8","","","M","89.03","","26","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-08-01 09:00","2020","08","01","09:00","24.9","","15.2","","54","","","M","36","","1","","","M","88.97","","29","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-08-01 10:00","2020","08","01","10:00","27.5","","15.7","","48","","","M","27","","5","","","M","88.91","","32","","","","NA"
