"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 00:00","2020","05","01","00:00","3.3","","1.2","","86","","","M","11","","2","","","M","88.51","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 01:00","2020","05","01","01:00","3.6","","1.7","","87","","","M","36","","9","","","M","88.54","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 02:00","2020","05","01","02:00","5.3","","2.6","","83","","","M","17","","10","","","M","88.56","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 03:00","2020","05","01","03:00","4.0","","2.1","","87","","","M","22","","4","","","M","88.59","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 04:00","2020","05","01","04:00","3.8","","1.7","","86","","","M","19","","4","","","M","88.64","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 05:00","2020","05","01","05:00","1.2","","0.3","","94","","","M","1","","8","","","M","88.68","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 06:00","2020","05","01","06:00","0.8","","-0.2","","93","","","M","36","","10","","","M","88.74","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 07:00","2020","05","01","07:00","5.4","","2.4","","81","","","M","36","","7","","","M","88.73","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 08:00","2020","05","01","08:00","9.3","","-0.4","","51","","","M","17","","17","","","M","88.68","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 09:00","2020","05","01","09:00","11.2","","0.5","","48","","","M","18","","14","","","M","88.66","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 10:00","2020","05","01","10:00","11.8","","-0.8","","42","","","M","17","","18","","","M","88.66","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 11:00","2020","05","01","11:00","11.3","","-2.0","","39","","","M","18","","18","","","M","88.66","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 12:00","2020","05","01","12:00","12.7","","-1.6","","37","","","M","17","","12","","","M","88.63","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 13:00","2020","05","01","13:00","12.8","","-2.2","","35","","","M","17","","16","","","M","88.60","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-05-01 14:00","2020","05","01","14:00","13.0","","-2.9","","33","","","M","17","","22","","","M","88.58","","","","","","NA"
