"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 00:00","2020","07","01","00:00","9.9","","8.6","","91","","","M","25","","5","","","M","87.73","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 01:00","2020","07","01","01:00","10.1","","8.3","","89","","","M","22","","4","","","M","87.70","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 02:00","2020","07","01","02:00","9.8","","8.3","","90","","","M","17","","6","","","M","87.66","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 03:00","2020","07","01","03:00","9.8","","7.9","","88","","","M","17","","11","","","M","87.64","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 04:00","2020","07","01","04:00","10.1","","7.6","","85","","","M","16","","13","","","M","87.63","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 05:00","2020","07","01","05:00","10.0","","7.8","","86","","","M","17","","11","","","M","87.63","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 06:00","2020","07","01","06:00","10.1","","7.4","","84","","","M","16","","14","","","M","87.63","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 07:00","2020","07","01","07:00","10.4","","7.8","","84","","","M","16","","13","","","M","87.63","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 08:00","2020","07","01","08:00","10.6","","7.8","","82","","","M","17","","14","","","M","87.65","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 09:00","2020","07","01","09:00","10.4","","7.9","","84","","","M","17","","14","","","M","87.65","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 10:00","2020","07","01","10:00","9.5","","7.6","","88","","","M","18","","22","","","M","87.67","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 11:00","2020","07","01","11:00","10.5","","8.1","","85","","","M","18","","19","","","M","87.68","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 12:00","2020","07","01","12:00","10.3","","6.6","","78","","","M","18","","15","","","M","87.71","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 13:00","2020","07","01","13:00","10.5","","6.9","","78","","","M","18","","18","","","M","87.72","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2020-07-01 14:00","2020","07","01","14:00","10.8","","6.4","","74","","","M","17","","25","","","M","87.70","","","","","","NA"
