"","Au","Ag","Al","As","B","Ba","Be","Bi","Ca","Cd","Ce","Co","Cr","Cs","Cu","Fe","Ga","Ge","Hf","Hg","In","K","La","Li","Mg","Mn","Mo","Na","Nb","Ni","P","Pb","Pd","Pt","Rb","Re","S","Sb","Sc","Se","Sn","Sr","Ta","Te","Th","Ti","Tl","U","V","W","Y","Zn","Zr"
"Cent_Elkview_p-value",0.00241418433569679,0.00137574415635655,0.172053892615726,0.0486820298654944,NA,0.0111276199481322,0.00649719531755016,0.00923142246828967,0.44749655415257,0.784313613594386,0.0564762356828973,0.0664413455590943,0.87265054535717,0.154720673652429,0.070918542875226,0.154096497773069,0.0980979923579215,0.0635521663755848,0.085893128663499,0.0163082712931643,NA,0.397352431648031,0.0644331628513367,0.148064564367546,0.641891056770075,0.0308996671394067,0.142103267226886,NA,0.0587421564541973,0.0332583481953516,0.7856198522267,0.00117135438045296,NA,NA,0.110395725506644,NA,0.308115966607525,0.00779625450637411,0.169716065019577,0.000758548730426967,0.310090079114562,0.212953847042706,0.933891288898902,NA,0.420503185810848,0.312950106178387,0.0357391987638402,0.00549352679377141,0.00638505824579333,0.78366810716782,0.0516384663165832,0.0312649661418497,0.0224477828872774
"Elkview_Azimuth_p-value",0.458927635189314,0.0563599316293698,0.794728103801912,0.164391890972331,NA,0.387520755279922,0.0025135600417468,0.403646801112397,0.411597534873637,0.770443368272032,0.0493031849373289,0.00193796512600181,0.303005766681277,0.0355264198546572,0.0661075792520958,0.0666795033641059,0.0337676529824041,0.0402668807288252,0.0200039171643249,0.015909605234591,NA,0.80177434869702,0.0163377676056191,0.0977584557580039,0.594897525232206,0.23401308600765,0.0288421503474836,NA,0.019306708322381,0.000468189552568443,0.939488091834849,0.316659203364789,NA,NA,0.0350438636166133,NA,0.700156763259437,0.0525751003215621,0.149777319535296,0.00227930758633449,0.0292890811411483,0.895704215993885,0.018224541723033,NA,0.50063858088983,0.196181197956968,0.0567087716523186,0.00403968489734785,0.0033049506560317,0.0239640036396351,0.00359531325255069,0.03089571367747,0.00670330060744911
"r.sq",0.892050680754023,0.67699238567252,0.328115181222351,0.620106643552308,NA,0.28486408792317,0.791507638716384,0.510767346829655,-0.0131183707137699,-0.117226878854531,0.695512958769103,0.711113905067674,0.0963760345222598,0.2194718787758,0.497214800735938,0.520860444472065,0.611916591167726,0.472744851849513,0.585500518023155,0.391201761934459,NA,-0.0799296097815161,0.747797351839234,0.157911434418342,0.00701506483158676,0.267065425781328,0.456321993845817,NA,0.509869774001112,0.710909117516973,-0.118495192286377,0.482288617338934,NA,NA,0.0998080349068061,NA,-0.0482259774170037,0.57955135698132,0.252347520394573,0.666317300406562,0.574515918913376,0.259474471252441,0.555935243609796,NA,0.0922865249134324,0.330774021736177,0.230486668075484,0.656953375355483,0.721397994166758,0.407795298671039,0.759554822587014,0.321035340385843,0.69621342757232
"dev.expl",0.764045595974542,0.87849675241416,0.494768307894608,0.771524146880379,NA,0.460708099911954,0.887196986920244,0.689630008245212,0.0720568580593499,0.00942202832035896,0.794422396198222,0.860278477982109,0.286553135564119,0.337964811838841,0.661216789804492,0.595947459747754,0.728359116376257,0.65303332509539,0.674568210223676,0.534743738775478,NA,0.044949249599847,0.831588318030034,0.237626290273865,0.161514666732687,0.798272920494109,0.674866450811664,NA,0.752473528884737,0.831032841056655,0.00502263327654438,0.718034584072029,NA,NA,0.315595952429671,NA,0.074758106089809,0.814621889591057,0.413363125025528,0.834327677799594,0.667905644694517,0.413558432960902,0.630811356199955,NA,0.252134705949991,0.500371089835772,0.598215961388684,0.850783017113882,0.900014356781067,0.617482458331268,0.756420371002296,0.390995725558222,0.836582072683712
"edf Cent",2.91,3.8,3.61,3.94,NA,1,3.47,3.16,1,1,3.78,3.12,1,1,2.24,1.67,3.09,1.73,1.22,1.52,NA,1,3.61,1,1,3.5,1,NA,2.66,1,1,3.39,NA,NA,1,NA,1,3.32,1,1,1.16,3.14,1,NA,1.45,1,2.92,2.63,3.66,1,1,1,2.44
"edf Azimuth",1,2.95,1.36,2.67,NA,1.93,3.15,1.86,1,1,2.87,3.22,2.49,1,2.7,2.68,2.61,2.59,3.41,1,NA,1,3.25,1,1.79,4.2,4.41,NA,2.84,3.51,1,1,NA,NA,1,NA,1,2.75,2.23,3.6,4.25,1.24,3.9,NA,1.76,3.2,1,3.18,3.41,3.23,3.43,1,3.91
