"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 00:00","2021","08","01","00:00","17.1","","10.4","","65","","","M","14","","3","","","M","89.36","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 01:00","2021","08","01","01:00","16.3","","9.4","","63","","","M","34","","2","","","M","89.37","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 02:00","2021","08","01","02:00","15.4","","9.4","","67","","","M","7","","2","","","M","89.37","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 03:00","2021","08","01","03:00","15.7","","8.7","","63","","","M","8","","4","","","M","89.36","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 04:00","2021","08","01","04:00","13.7","","8.9","","72","","","M","1","","4","","","M","89.37","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 05:00","2021","08","01","05:00","12.7","","8.9","","77","","","M","1","","7","","","M","89.39","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 06:00","2021","08","01","06:00","14.1","","9.2","","72","","","M","36","","6","","","M","89.39","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 07:00","2021","08","01","07:00","17.4","","9.7","","60","","","M","2","","7","","","M","89.36","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 08:00","2021","08","01","08:00","21.3","","9.6","","47","","","M","3","","6","","","M","89.31","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 09:00","2021","08","01","09:00","24.0","","10.1","","41","","","M","35","","7","","","M","89.25","","25","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 10:00","2021","08","01","10:00","27.7","","9.7","","32","","","M","35","","9","","","M","89.17","","29","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 11:00","2021","08","01","11:00","31.1","","9.0","","25","","","M","36","","5","","","M","89.05","","32","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 12:00","2021","08","01","12:00","33.0","","8.7","","22","","","M","31","","4","","","M","88.99","","34","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 13:00","2021","08","01","13:00","32.8","","8.3","","21","","","M","13","","16","","","M","88.93","","33","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-08-01 14:00","2021","08","01","14:00","32.9","","9.4","","23","","","M","15","","10","","","M","88.91","","34","","","","NA"
