"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 00:00","2021","05","01","00:00","7.2","","5.7","","90","","","M","20","","5","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 01:00","2021","05","01","01:00","6.2","","6.2","","100","","","M","21","","4","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 02:00","2021","05","01","02:00","5.9","","5.9","","100","","","M","7","","3","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 03:00","2021","05","01","03:00","4.6","","4.6","","100","","","M","3","","1","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 04:00","2021","05","01","04:00","3.9","","3.9","","100","","","M","26","","3","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 05:00","2021","05","01","05:00","3.6","","3.6","","100","","","M","13","","3","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 06:00","2021","05","01","06:00","7.7","","6.3","","91","","","M","19","","8","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 07:00","2021","05","01","07:00","10.6","","3.3","","61","","","M","16","","16","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 08:00","2021","05","01","08:00","12.7","","2.5","","50","","","M","15","","18","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 09:00","2021","05","01","09:00","12.7","","0.0","","42","","","M","13","","6","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 10:00","2021","05","01","10:00","13.3","","-0.7","","38","","","M","20","","14","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 11:00","2021","05","01","11:00","12.8","","-1.5","","37","","","M","20","","8","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 12:00","2021","05","01","12:00","14.5","","-1.0","","34","","","M","14","","13","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 13:00","2021","05","01","13:00","14.6","","-1.4","","33","","","M","16","","15","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 14:00","2021","05","01","14:00","13.6","","-2.3","","33","","","M","16","","4","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 15:00","2021","05","01","15:00","15.4","","-3.1","","28","","","M","17","","19","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 16:00","2021","05","01","16:00","14.6","","-4.7","","26","","","M","14","","6","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 17:00","2021","05","01","17:00","14.1","","-4.0","","28","","","M","26","","5","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 18:00","2021","05","01","18:00","11.4","","-2.6","","37","","","M","18","","14","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 19:00","2021","05","01","19:00","10.9","","-5.5","","31","","","M","28","","7","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 20:00","2021","05","01","20:00","8.4","","-1.5","","50","","","M","35","","21","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 21:00","2021","05","01","21:00","7.3","","-2.0","","52","","","M","30","","9","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 22:00","2021","05","01","22:00","7.1","","-1.0","","56","","","M","11","","15","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-01 23:00","2021","05","01","23:00","6.4","","-0.5","","61","","","M","12","","17","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 00:00","2021","05","02","00:00","5.8","","-0.6","","64","","","M","8","","18","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 01:00","2021","05","02","01:00","4.3","","0.0","","73","","","M","2","","8","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 02:00","2021","05","02","02:00","3.9","","0.4","","78","","","M","35","","11","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 03:00","2021","05","02","03:00","3.3","","0.8","","83","","","M","30","","5","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 04:00","2021","05","02","04:00","2.8","","2.0","","95","","","M","15","","3","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 05:00","2021","05","02","05:00","1.6","","1.6","","100","","","M","36","","6","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 06:00","2021","05","02","06:00","2.2","","1.9","","98","","","M","3","","4","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 07:00","2021","05","02","07:00","4.7","","1.3","","79","","","M","2","","7","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 08:00","2021","05","02","08:00","6.8","","-1.1","","57","","","M","11","","4","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 09:00","2021","05","02","09:00","7.9","","-3.4","","45","","","M","2","","3","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 10:00","2021","05","02","10:00","9.0","","-3.7","","40","","","M","36","","6","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 11:00","2021","05","02","11:00","9.6","","-5.3","","34","","","M","25","","8","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 12:00","2021","05","02","12:00","11.0","","-7.4","","27","","","M","25","","9","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 13:00","2021","05","02","13:00","11.7","","-6.3","","28","","","M","29","","7","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 14:00","2021","05","02","14:00","13.1","","-6.3","","25","","","M","18","","18","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 15:00","2021","05","02","15:00","13.4","","-6.4","","25","","","M","23","","5","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 16:00","2021","05","02","16:00","12.2","","-2.9","","35","","","M","11","","25","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 17:00","2021","05","02","17:00","9.8","","-1.7","","45","","","M","14","","13","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 18:00","2021","05","02","18:00","8.5","","-1.2","","50","","","M","12","","22","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 19:00","2021","05","02","19:00","7.3","","-0.9","","56","","","M","12","","15","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 20:00","2021","05","02","20:00","6.3","","-0.8","","61","","","M","10","","16","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 21:00","2021","05","02","21:00","6.0","","-0.7","","62","","","M","35","","2","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 22:00","2021","05","02","22:00","5.6","","0.4","","69","","","M","12","","16","","","M","","M","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-05-02 23:00","2021","05","02","23:00","4.7","","0.2","","72","","","M","12","","10","","","M","","M","","","","","NA"
