"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 00:00","2021","04","01","00:00","-1.5","","-4.7","","79","","","M","22","","3","","","M","88.74","","","","-3","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 01:00","2021","04","01","01:00","2.1","","-6.0","","55","","","M","26","","7","","","M","88.69","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 02:00","2021","04","01","02:00","0.9","","-6.4","","58","","","M","19","","4","","","M","88.62","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 03:00","2021","04","01","03:00","0.9","","-5.8","","61","","","M","18","","9","","","M","88.55","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 04:00","2021","04","01","04:00","0.3","","-6.1","","63","","","M","17","","3","","","M","88.50","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 05:00","2021","04","01","05:00","0.7","","-6.0","","61","","","M","27","","3","","","M","88.46","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 06:00","2021","04","01","06:00","-1.4","","-5.9","","71","","","M","17","","4","","","M","88.43","","","","-3","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 07:00","2021","04","01","07:00","0.8","","-5.8","","62","","","M","14","","8","","","M","88.37","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 08:00","2021","04","01","08:00","3.0","","-4.9","","56","","","M","25","","4","","","M","88.30","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 09:00","2021","04","01","09:00","7.3","","-6.3","","37","","","M","16","","17","","","M","88.20","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 10:00","2021","04","01","10:00","8.7","","-6.7","","33","","","M","17","","18","","","M","88.11","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 11:00","2021","04","01","11:00","9.6","","-6.6","","31","","","M","18","","23","","","M","88.02","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 12:00","2021","04","01","12:00","9.9","","-6.6","","31","","","M","16","","22","","","M","87.94","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 13:00","2021","04","01","13:00","10.4","","-6.3","","30","","","M","18","","17","","","M","87.86","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 14:00","2021","04","01","14:00","10.8","","-6.0","","30","","","M","16","","17","","","M","87.77","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 15:00","2021","04","01","15:00","11.2","","-7.5","","26","","","M","18","","20","","","M","87.73","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 16:00","2021","04","01","16:00","10.9","","-7.6","","26","","","M","15","","13","","","M","87.71","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 17:00","2021","04","01","17:00","10.8","","-8.8","","24","","","M","18","","21","","","M","87.75","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 18:00","2021","04","01","18:00","9.2","","-6.7","","32","","","M","32","","1","","","M","87.80","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 19:00","2021","04","01","19:00","6.7","","-4.9","","43","","","M","25","","3","","","M","87.81","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 20:00","2021","04","01","20:00","5.1","","-3.9","","52","","","M","6","","2","","","M","87.86","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 21:00","2021","04","01","21:00","3.7","","-2.6","","64","","","M","14","","5","","","M","87.87","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 22:00","2021","04","01","22:00","2.5","","-2.0","","72","","","M","24","","4","","","M","87.91","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-01 23:00","2021","04","01","23:00","1.9","","-2.3","","74","","","M","0","","1","","","M","87.93","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 00:00","2021","04","02","00:00","1.5","","-2.5","","75","","","M","1","","3","","","M","87.96","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 01:00","2021","04","02","01:00","-0.4","","-2.9","","83","","","M","11","","1","","","M","88.00","","","","-1","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 02:00","2021","04","02","02:00","-0.9","","-3.6","","82","","","M","9","","2","","","M","88.02","","","","-2","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 03:00","2021","04","02","03:00","-1.5","","-4.1","","83","","","M","1","","6","","","M","88.06","","","","-4","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 04:00","2021","04","02","04:00","-2.3","","-4.5","","85","","","M","34","","3","","","M","88.10","","","","-3","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 05:00","2021","04","02","05:00","-2.7","","-5.2","","83","","","M","3","","3","","","M","88.19","","","","-4","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 06:00","2021","04","02","06:00","-2.4","","-4.9","","83","","","M","32","","5","","","M","88.26","","","","-4","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 07:00","2021","04","02","07:00","-0.8","","-4.4","","77","","","M","1","","9","","","M","88.27","","","","-4","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 08:00","2021","04","02","08:00","2.7","","-3.5","","64","","","M","2","","6","","","M","88.29","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 09:00","2021","04","02","09:00","9.4","","-6.2","","33","","","M","16","","21","","","M","88.26","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 10:00","2021","04","02","10:00","10.2","","-7.0","","29","","","M","16","","25","","","M","88.28","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 11:00","2021","04","02","11:00","10.9","","-6.5","","29","","","M","17","","27","","","M","88.29","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 12:00","2021","04","02","12:00","12.4","","-7.3","","25","","","M","16","","22","","","M","88.28","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 13:00","2021","04","02","13:00","12.7","","-8.6","","22","","","M","15","","32","","","M","88.23","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 14:00","2021","04","02","14:00","13.4","","-7.8","","22","","","M","15","","26","","","M","88.21","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-04-02 15:00","2021","04","02","15:00","13.2","","-9.6","","19","","","M","18","","15","","","M","88.22","","","","","","NA"
