"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 00:00","2021","06","01","00:00","9.9","","5.8","","76","","","M","1","","9","","","M","89.15","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 01:00","2021","06","01","01:00","8.4","","5.5","","82","","","M","36","","5","","","M","89.20","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 02:00","2021","06","01","02:00","7.3","","5.6","","89","","","M","35","","5","","","M","89.19","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 03:00","2021","06","01","03:00","7.6","","4.6","","81","","","M","3","","8","","","M","89.20","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 04:00","2021","06","01","04:00","7.0","","4.7","","85","","","M","36","","6","","","M","89.22","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 05:00","2021","06","01","05:00","7.2","","4.6","","84","","","M","36","","5","","","M","89.25","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 06:00","2021","06","01","06:00","8.8","","5.0","","77","","","M","34","","6","","","M","89.23","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 07:00","2021","06","01","07:00","10.6","","4.9","","68","","","M","34","","6","","","M","89.19","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 08:00","2021","06","01","08:00","14.0","","5.7","","57","","","M","5","","5","","","M","89.18","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 09:00","2021","06","01","09:00","17.2","","6.0","","47","","","M","27","","5","","","M","89.09","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 10:00","2021","06","01","10:00","21.2","","6.1","","37","","","M","21","","8","","","M","89.02","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 11:00","2021","06","01","11:00","23.0","","5.4","","32","","","M","16","","5","","","M","88.95","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 12:00","2021","06","01","12:00","24.7","","7.3","","32","","","M","18","","3","","","M","88.87","","25","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 13:00","2021","06","01","13:00","26.4","","6.6","","28","","","M","16","","12","","","M","88.82","","26","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 14:00","2021","06","01","14:00","26.8","","5.7","","25","","","M","19","","18","","","M","88.78","","26","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 15:00","2021","06","01","15:00","26.4","","4.9","","25","","","M","33","","10","","","M","88.73","","26","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 16:00","2021","06","01","16:00","25.9","","5.7","","27","","","M","23","","7","","","M","88.69","","25","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 17:00","2021","06","01","17:00","26.1","","6.1","","27","","","M","26","","7","","","M","88.64","","26","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 18:00","2021","06","01","18:00","25.4","","7.3","","31","","","M","26","","5","","","M","88.62","","26","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 19:00","2021","06","01","19:00","18.8","","9.2","","53","","","M","20","","2","","","M","88.63","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 20:00","2021","06","01","20:00","16.9","","8.5","","57","","","M","14","","3","","","M","88.65","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 21:00","2021","06","01","21:00","16.1","","7.2","","55","","","M","6","","8","","","M","88.67","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 22:00","2021","06","01","22:00","13.2","","7.4","","67","","","M","34","","3","","","M","88.70","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-01 23:00","2021","06","01","23:00","11.6","","7.3","","75","","","M","35","","4","","","M","88.72","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 00:00","2021","06","02","00:00","9.9","","7.0","","82","","","M","35","","6","","","M","88.75","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 01:00","2021","06","02","01:00","9.1","","6.6","","84","","","M","1","","8","","","M","88.78","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 02:00","2021","06","02","02:00","7.7","","6.9","","95","","","M","34","","7","","","M","88.81","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 03:00","2021","06","02","03:00","7.0","","6.9","","99","","","M","1","","8","","","M","88.82","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 04:00","2021","06","02","04:00","6.5","","6.5","","100","","","M","1","","9","","","M","88.84","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 05:00","2021","06","02","05:00","6.3","","6.3","","100","","","M","1","","4","","","M","88.86","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 06:00","2021","06","02","06:00","9.6","","7.0","","84","","","M","1","","9","","","M","88.88","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 07:00","2021","06","02","07:00","13.5","","7.3","","66","","","M","2","","4","","","M","88.83","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 08:00","2021","06","02","08:00","17.3","","8.5","","56","","","M","2","","2","","","M","88.74","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 09:00","2021","06","02","09:00","20.2","","8.7","","47","","","M","32","","4","","","M","88.66","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 10:00","2021","06","02","10:00","24.5","","9.8","","39","","","M","20","","14","","","M","88.58","","26","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 11:00","2021","06","02","11:00","26.2","","8.3","","32","","","M","18","","14","","","M","88.52","","27","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 12:00","2021","06","02","12:00","27.7","","8.9","","30","","","M","13","","13","","","M","88.45","","28","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 13:00","2021","06","02","13:00","28.9","","8.0","","26","","","M","17","","13","","","M","88.40","","29","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 14:00","2021","06","02","14:00","29.4","","7.9","","25","","","M","19","","11","","","M","88.35","","30","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 15:00","2021","06","02","15:00","29.5","","7.2","","24","","","M","16","","22","","","M","88.29","","30","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 16:00","2021","06","02","16:00","29.3","","7.1","","24","","","M","17","","19","","","M","88.26","","29","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 17:00","2021","06","02","17:00","28.6","","9.5","","30","","","M","26","","8","","","M","88.24","","30","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 18:00","2021","06","02","18:00","26.9","","9.7","","33","","","M","28","","5","","","M","88.22","","28","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 19:00","2021","06","02","19:00","21.4","","9.9","","47","","","M","34","","5","","","M","88.23","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 20:00","2021","06","02","20:00","20.0","","9.9","","52","","","M","11","","3","","","M","88.28","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 21:00","2021","06","02","21:00","15.7","","9.2","","65","","","M","25","","1","","","M","88.33","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 22:00","2021","06","02","22:00","14.7","","9.0","","68","","","M","1","","4","","","M","88.35","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-02 23:00","2021","06","02","23:00","13.2","","9.1","","76","","","M","36","","7","","","M","88.37","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 00:00","2021","06","03","00:00","12.1","","7.9","","75","","","M","36","","8","","","M","88.41","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 01:00","2021","06","03","01:00","10.7","","7.7","","81","","","M","1","","7","","","M","88.43","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 02:00","2021","06","03","02:00","9.8","","7.1","","83","","","M","36","","8","","","M","88.44","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 03:00","2021","06","03","03:00","9.0","","6.7","","85","","","M","1","","8","","","M","88.44","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 04:00","2021","06","03","04:00","8.0","","7.8","","99","","","M","36","","9","","","M","88.45","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 05:00","2021","06","03","05:00","7.7","","7.3","","98","","","M","36","","7","","","M","88.46","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 06:00","2021","06","03","06:00","11.5","","7.3","","75","","","M","1","","7","","","M","88.44","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 07:00","2021","06","03","07:00","15.5","","7.8","","60","","","M","1","","3","","","M","88.38","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 08:00","2021","06","03","08:00","19.1","","8.9","","51","","","M","15","","2","","","M","88.30","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 09:00","2021","06","03","09:00","24.5","","9.1","","37","","","M","18","","17","","","M","88.22","","25","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 10:00","2021","06","03","10:00","26.3","","9.2","","33","","","M","17","","18","","","M","88.16","","27","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 11:00","2021","06","03","11:00","28.1","","8.9","","30","","","M","16","","22","","","M","88.11","","29","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 12:00","2021","06","03","12:00","29.1","","8.9","","28","","","M","16","","15","","","M","88.06","","30","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 13:00","2021","06","03","13:00","29.8","","6.3","","22","","","M","16","","23","","","M","87.98","","30","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 14:00","2021","06","03","14:00","30.8","","1.1","","15","","","M","16","","21","","","M","87.94","","29","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 15:00","2021","06","03","15:00","30.6","","4.1","","18","","","M","15","","26","","","M","87.93","","30","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 16:00","2021","06","03","16:00","30.2","","4.9","","20","","","M","17","","17","","","M","87.90","","29","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 17:00","2021","06","03","17:00","29.6","","4.7","","20","","","M","18","","14","","","M","87.89","","29","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 18:00","2021","06","03","18:00","28.2","","4.5","","22","","","M","24","","7","","","M","87.88","","27","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 19:00","2021","06","03","19:00","22.6","","7.4","","37","","","M","34","","1","","","M","87.90","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 20:00","2021","06","03","20:00","19.5","","8.1","","47","","","M","27","","5","","","M","87.98","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 21:00","2021","06","03","21:00","19.4","","7.7","","46","","","M","23","","4","","","M","88.04","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 22:00","2021","06","03","22:00","16.1","","8.5","","60","","","M","34","","4","","","M","88.08","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-03 23:00","2021","06","03","23:00","14.4","","7.6","","63","","","M","33","","3","","","M","88.10","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 00:00","2021","06","04","00:00","16.1","","6.5","","53","","","M","10","","7","","","M","88.12","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 01:00","2021","06","04","01:00","13.3","","7.0","","65","","","M","4","","7","","","M","88.12","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 02:00","2021","06","04","02:00","11.2","","6.7","","74","","","M","36","","12","","","M","88.15","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 03:00","2021","06","04","03:00","10.1","","6.4","","78","","","M","1","","10","","","M","88.18","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 04:00","2021","06","04","04:00","8.8","","6.2","","84","","","M","36","","10","","","M","88.19","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 05:00","2021","06","04","05:00","8.8","","5.9","","82","","","M","35","","12","","","M","88.18","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 06:00","2021","06","04","06:00","11.8","","6.5","","70","","","M","36","","10","","","M","88.19","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 07:00","2021","06","04","07:00","15.7","","7.2","","57","","","M","18","","1","","","M","88.11","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 08:00","2021","06","04","08:00","22.4","","6.5","","35","","","M","17","","23","","","M","88.02","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 09:00","2021","06","04","09:00","23.6","","5.8","","31","","","M","17","","23","","","M","88.00","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 10:00","2021","06","04","10:00","23.5","","6.0","","32","","","M","18","","25","","","M","87.97","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 11:00","2021","06","04","11:00","24.0","","6.4","","32","","","M","17","","20","","","M","87.92","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 12:00","2021","06","04","12:00","25.3","","5.2","","27","","","M","17","","27","","","M","87.87","","25","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 13:00","2021","06","04","13:00","26.1","","3.7","","23","","","M","16","","19","","","M","87.84","","25","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 14:00","2021","06","04","14:00","25.7","","3.0","","23","","","M","17","","24","","","M","87.84","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 15:00","2021","06","04","15:00","24.7","","4.3","","26","","","M","16","","19","","","M","87.82","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 16:00","2021","06","04","16:00","24.3","","4.7","","28","","","M","16","","19","","","M","87.81","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 17:00","2021","06","04","17:00","23.6","","5.3","","30","","","M","16","","13","","","M","87.80","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 18:00","2021","06","04","18:00","22.3","","4.1","","30","","","M","18","","19","","","M","87.78","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 19:00","2021","06","04","19:00","21.1","","3.0","","30","","","M","18","","15","","","M","87.81","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 20:00","2021","06","04","20:00","20.4","","0.8","","27","","","M","17","","12","","","M","87.84","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 21:00","2021","06","04","21:00","19.3","","-2.2","","23","","","M","18","","10","","","M","87.85","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 22:00","2021","06","04","22:00","18.5","","-1.9","","25","","","M","18","","12","","","M","87.85","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-04 23:00","2021","06","04","23:00","17.6","","-4.0","","22","","","M","18","","12","","","M","87.86","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 00:00","2021","06","05","00:00","17.7","","-5.3","","20","","","M","17","","16","","","M","87.86","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 01:00","2021","06","05","01:00","17.2","","-5.4","","21","","","M","18","","13","","","M","87.82","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 02:00","2021","06","05","02:00","17.2","","-6.0","","20","","","M","18","","19","","","M","87.79","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 03:00","2021","06","05","03:00","16.6","","-5.3","","22","","","M","18","","9","","","M","87.76","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 04:00","2021","06","05","04:00","16.3","","-4.9","","23","","","M","18","","12","","","M","87.72","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 05:00","2021","06","05","05:00","16.1","","-4.0","","25","","","M","17","","13","","","M","87.71","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 06:00","2021","06","05","06:00","16.2","","-1.9","","29","","","M","18","","16","","","M","87.70","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 07:00","2021","06","05","07:00","17.0","","0.8","","33","","","M","17","","17","","","M","87.64","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 08:00","2021","06","05","08:00","17.2","","1.1","","33","","","M","17","","23","","","M","87.62","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 09:00","2021","06","05","09:00","17.0","","1.0","","34","","","M","17","","22","","","M","87.61","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 10:00","2021","06","05","10:00","17.9","","0.9","","32","","","M","17","","20","","","M","87.56","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 11:00","2021","06","05","11:00","17.7","","-0.2","","30","","","M","17","","32","","","M","87.52","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 12:00","2021","06","05","12:00","14.5","","1.3","","40","","","M","21","","9","","","M","87.68","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 13:00","2021","06","05","13:00","13.7","","2.8","","47","","","M","15","","19","","","M","87.68","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 14:00","2021","06","05","14:00","13.8","","2.9","","47","","","M","28","","5","","","M","87.72","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 15:00","2021","06","05","15:00","13.0","","1.3","","45","","","M","28","","3","","","M","87.74","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 16:00","2021","06","05","16:00","12.7","","3.8","","54","","","M","15","","9","","","M","87.76","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 17:00","2021","06","05","17:00","9.5","","4.4","","70","","","M","18","","14","","","M","87.83","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 18:00","2021","06","05","18:00","8.3","","6.1","","86","","","M","17","","6","","","M","87.82","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 19:00","2021","06","05","19:00","7.5","","6.7","","94","","","M","17","","13","","","M","87.97","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-06-05 20:00","2021","06","05","20:00","6.6","","4.5","","87","","","M","16","","13","","","M","87.92","","","","","","NA"
