"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 00:00","2021","03","01","00:00","0.6","","-3.2","","76","","","M","16","","17","","","M","88.83","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 01:00","2021","03","01","01:00","0.8","","-3.0","","76","","","M","16","","20","","","M","88.84","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 02:00","2021","03","01","02:00","0.7","","-2.5","","79","","","M","14","","17","","","M","88.80","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 03:00","2021","03","01","03:00","0.9","","-2.2","","80","","","M","14","","19","","","M","88.78","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 04:00","2021","03","01","04:00","0.6","","-1.7","","84","","","M","15","","20","","","M","88.77","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 05:00","2021","03","01","05:00","1.0","","-1.9","","81","","","M","14","","23","","","M","88.77","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 06:00","2021","03","01","06:00","1.2","","-2.3","","78","","","M","14","","24","","","M","88.73","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 07:00","2021","03","01","07:00","1.3","","-2.6","","76","","","M","16","","16","","","M","88.71","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 08:00","2021","03","01","08:00","1.5","","-2.5","","74","","","M","13","","22","","","M","88.71","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 09:00","2021","03","01","09:00","1.9","","-2.6","","72","","","M","14","","21","","","M","88.71","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 10:00","2021","03","01","10:00","2.2","","-2.7","","70","","","M","16","","20","","","M","88.69","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 11:00","2021","03","01","11:00","3.2","","-2.8","","65","","","M","16","","30","","","M","88.60","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 12:00","2021","03","01","12:00","4.4","","-2.9","","59","","","M","17","","23","","","M","88.51","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 13:00","2021","03","01","13:00","4.6","","-2.5","","60","","","M","17","","19","","","M","88.44","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 14:00","2021","03","01","14:00","5.2","","-2.9","","56","","","M","17","","23","","","M","88.38","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 15:00","2021","03","01","15:00","4.3","","-2.7","","60","","","M","18","","17","","","M","88.33","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 16:00","2021","03","01","16:00","4.5","","-2.5","","60","","","M","17","","17","","","M","88.28","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 17:00","2021","03","01","17:00","4.5","","-2.6","","60","","","M","16","","15","","","M","88.22","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 18:00","2021","03","01","18:00","4.7","","-2.9","","58","","","M","17","","21","","","M","88.20","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 19:00","2021","03","01","19:00","4.6","","-2.7","","59","","","M","18","","19","","","M","88.19","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 20:00","2021","03","01","20:00","4.2","","-2.7","","61","","","M","16","","10","","","M","88.10","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 21:00","2021","03","01","21:00","4.6","","-3.0","","58","","","M","18","","22","","","M","88.08","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 22:00","2021","03","01","22:00","3.5","","-2.1","","67","","","M","17","","13","","","M","88.10","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-03-01 23:00","2021","03","01","23:00","3.9","","-2.8","","61","","","M","18","","21","","","M","88.07","","","","","","NA"
