"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 00:00","2021","11","01","00:00","-8.5","","-9.9","","90","","","M","2","","8","","","M","89.34","","","","-13","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 01:00","2021","11","01","01:00","-8.5","","-10.6","","85","","","M","4","","9","","","M","89.34","","","","-13","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 02:00","2021","11","01","02:00","-9.5","","-11.7","","85","","","M","9","","5","","","M","89.33","","","","-12","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 03:00","2021","11","01","03:00","-9.8","","-11.6","","87","","","M","5","","3","","","M","89.31","","","","-12","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 04:00","2021","11","01","04:00","-10.3","","-12.7","","83","","","M","8","","4","","","M","89.29","","","","-13","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 05:00","2021","11","01","05:00","-10.8","","-13.2","","83","","","M","11","","6","","","M","89.27","","","","-14","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 06:00","2021","11","01","06:00","-10.9","","-13.4","","82","","","M","9","","1","","","M","89.28","","","","-12","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 07:00","2021","11","01","07:00","-11.4","","-13.3","","86","","","M","3","","2","","","M","89.30","","","","-13","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 08:00","2021","11","01","08:00","-10.4","","-12.5","","85","","","M","1","","5","","","M","89.30","","","","-13","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 09:00","2021","11","01","09:00","-7.9","","-10.7","","81","","","M","1","","8","","","M","89.25","","","","-12","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 10:00","2021","11","01","10:00","-5.3","","-10.0","","70","","","M","7","","3","","","M","89.18","","","","-7","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 11:00","2021","11","01","11:00","-2.3","","-9.7","","57","","","M","1","","6","","","M","89.10","","","","-5","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 12:00","2021","11","01","12:00","-0.3","","-8.8","","53","","","M","14","","3","","","M","88.98","","","","-1","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 13:00","2021","11","01","13:00","1.8","","-9.4","","43","","","M","25","","4","","","M","88.89","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 14:00","2021","11","01","14:00","3.1","","-9.0","","41","","","M","28","","4","","","M","88.83","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 15:00","2021","11","01","15:00","0.5","","-7.4","","55","","","M","29","","5","","","M","88.83","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 16:00","2021","11","01","16:00","-1.6","","-5.9","","73","","","M","4","","3","","","M","88.83","","","","-3","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 17:00","2021","11","01","17:00","-2.4","","-6.0","","77","","","M","7","","3","","","M","88.85","","","","-4","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 18:00","2021","11","01","18:00","-4.2","","-6.0","","87","","","M","1","","7","","","M","88.86","","","","-7","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 19:00","2021","11","01","19:00","-4.2","","-6.0","","88","","","M","1","","5","","","M","88.88","","","","-6","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 20:00","2021","11","01","20:00","-4.9","","-5.9","","93","","","M","36","","2","","","M","88.92","","","","-6","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 21:00","2021","11","01","21:00","-5.7","","-6.5","","94","","","M","36","","8","","","M","88.94","","","","-9","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 22:00","2021","11","01","22:00","-5.8","","-6.2","","98","","","M","34","","5","","","M","88.96","","","","-8","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-01 23:00","2021","11","01","23:00","-6.7","","-6.9","","98","","","M","35","","3","","","M","88.97","","","","-8","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-11-02 00:00","2021","11","02","00:00","-6.8","","-7.2","","97","","","M","1","","5","","","M","89.00","","","","-9","","NA"
