"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 00:00","2021","12","01","00:00","6.2","","6.2","","100","","","M","15","","19","","","M","88.15","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 01:00","2021","12","01","01:00","7.0","","7.0","","100","","","M","16","","25","","","M","88.07","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 02:00","2021","12","01","02:00","7.3","","7.3","","100","","","M","16","","21","","","M","88.03","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 03:00","2021","12","01","03:00","7.7","","7.7","","100","","","M","16","","27","","","M","87.95","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 04:00","2021","12","01","04:00","7.8","","7.5","","98","","","M","17","","20","","","M","87.90","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 05:00","2021","12","01","05:00","7.7","","7.7","","100","","","M","15","","17","","","M","87.82","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 06:00","2021","12","01","06:00","8.0","","7.7","","98","","","M","17","","23","","","M","87.76","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 07:00","2021","12","01","07:00","8.1","","8.0","","99","","","M","16","","20","","","M","87.77","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 08:00","2021","12","01","08:00","8.5","","8.2","","98","","","M","17","","18","","","M","87.76","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 09:00","2021","12","01","09:00","9.1","","7.8","","92","","","M","15","","18","","","M","87.76","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 10:00","2021","12","01","10:00","9.2","","7.5","","89","","","M","18","","21","","","M","87.78","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 11:00","2021","12","01","11:00","9.8","","6.4","","79","","","M","15","","21","","","M","87.74","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 12:00","2021","12","01","12:00","10.3","","4.3","","66","","","M","17","","14","","","M","87.75","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 13:00","2021","12","01","13:00","10.9","","3.3","","59","","","M","18","","24","","","M","87.75","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 14:00","2021","12","01","14:00","10.2","","4.2","","66","","","M","17","","20","","","M","87.73","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 15:00","2021","12","01","15:00","9.3","","5.1","","75","","","M","17","","19","","","M","87.80","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2021-12-01 16:00","2021","12","01","16:00","7.9","","5.5","","85","","","M","18","","16","","","M","87.84","","","","","","NA"
